sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
VAN92-HM302-DEWH0A-N1S1	X0014NB64T	B083BSDND9		Unknown					619	554	65	0	619		0	0	0
VAN92-HM311-GBWH0A-N1S1	X0015YWZ0V	B085ZZJZ8L		Unknown					2289	2236	51	2	5361		2160	912	0
VAN92-HMA2-GBWH0A-N1S1	X00168FIIR	B087JNJMKL		Unknown					832	829	1	2	1632		480	320	0
VAN92-HMA2XX-DEWH0A-N1S1	X0016NYTFF	B089CVTPVK		Unknown					0	0	0	0	300		300	0	0
VAN92-HMA2XX-ITWH0A-N1S1	X0016X2XM1	B08B5N9V6B		Unknown					495	491	0	4	895		400	0	0
VAN92-HMB1-GBWH0A-N1S1	X0015YWHBD	B085ZV1N5Y		Unknown					772	752	14	6	2213		1440	0	1
VAN92-HMD2-DEWH0A-N1S1	X00146KWWN	B0824SMYD6		Unknown					1191	809	179	203	2991		1320	480	0
VAN92-HMD2-FRWH0A-N1S1	X00135YRRB	B07YBV9S5D		Unknown					57	0	57	0	57		0	0	0
VAN92-HMD2-FRWH0A-N1S2	X0013NZ6SH	B07YBV9S5D		Unknown					772	703	55	14	1876		720	384	0
VAN92-HMD2-GBWH0A-N1S1	X0013ND6W5	B07ZKHW1P1		Unknown					1816	1605	197	14	5808		2144	1848	0
VAN92-HMD2-ITWH0A-N2S1	X0013Q3PW3	B07ZSGRKJ3		Unknown					2431	2256	158	17	6391		3960	0	0
VAN92-HMD3-GBWH0A-N1S1	X00168GN1N	B087JDWNFQ		Unknown					789	782	0	7	1989		480	720	0
VAN92-HMD3XX-DEWH0A-N1S1	X0016NYTKZ	B089CTZMT8		Unknown					192	192	0	0	768		192	384	0
VAN92-HMD3XX-FRWH0A-N1S1	X00170N8OP	B088ZVXNBC		Unknown					0	0	0	0	0		0	0	0
VAN92-HMD3XX-FRWH0A-N2S2	X00179JZC5	B08BLNWVWQ		Unknown					308	307	0	1	1268		960	0	0
VAN92-HMD3XX-ITWH0A-N1S1	X0016X4CN9	B08B5P3PJR		Unknown					571	567	0	4	883		312	0	0
VAN92-HMS3XX-DEBK0A-N1S1	X0017Q1GQ1	B08DY5BS8L		Unknown					0	0	0	0	320		320	0	0
